Sector,Price,Built Up Area,Bedroom,Bathroom,Balcony,Others,Pooja Room,Servant Room,Store Room,Study Room,Floor Num,Total Floor,Facing_North,Facing_North-East,Facing_North-West,Facing_South,Facing_South-East,Facing_South-West,Facing_Unknown,Facing_West,Property Age,Overlooking_Club,Overlooking_Lake facing,Overlooking_Main Road,Overlooking_Others,Overlooking_Park,Overlooking_Pool,NearbyPlace_Business,NearbyPlace_Education,NearbyPlace_Financial,NearbyPlace_Healthcare,NearbyPlace_Leisure,NearbyPlace_Religious,NearbyPlace_Residentail,NearbyPlace_Shopping,NearbyPlace_Transport,Property Ownership,Furnishing,Power Backup,Covered_Parking,Open_Parking,Total Parking,Rating,Sector_encoded
Sector 81,1.05,1031,2,2,2,1,0,0,0,0,10,14,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,3.6,2.7
Sector 92,1.29,1305,3,3,2,1,1,1,0,1,6,7,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,2,1,0,1,3.74,1.8
Sector 85,1.05,1032,2,2,2,1,0,0,0,0,11,12,1,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,2,1,0,1,3.8,1.9
Sector 92,1.48,1574,3,3,4,0,0,0,1,0,13,20,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,2,1,0,1,3.78,1.8
Sector 81,1.4,1444,3,3,3,0,0,0,1,0,12,14,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,1,0,1,3.6,2.7
Sector 92,1.95,1938,4,4,3,0,0,1,0,0,1,18,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,2,1,0,1,4.12,1.8
Sector 92,1.4,1367,3,2,2,0,1,0,0,0,6,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,1,3.66,1.8
Sector 92,1.9,2061,4,4,2,0,0,1,0,0,4,18,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,2,2,0,2,3.64,1.8
Sector 83,0.695,309,1,1,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,3.96,1.8
Sector 84,0.9,1111,2,2,3,1,0,0,0,0,9,19,1,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,2,1,0,1,3.8,2.1
