property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price
flat,36,7586.0,3,2,2,2.0,New Property,850.0,0,0,0,8,0.82
flat,89,8597.0,2,2,2,4.0,New Property,1226.0,1,0,0,38,0.95
flat,33,5470.0,2,2,1,17.0,New Property,1000.0,0,0,0,49,0.32
flat,92,8020.0,3,4,3+,10.0,Relatively New,1615.0,1,0,1,174,1.6
flat,102,9023.0,2,2,1,5.0,Relatively New,582.0,0,1,0,159,0.48
flat,2,14019.0,4,4,3+,20.0,New Property,4842.0,1,0,1,49,7.5
flat,108,8554.0,3,3,3+,14.0,Relatively New,2116.0,1,0,0,95,2.0
flat,102,9104.0,3,4,3,8.0,Relatively New,1710.0,1,0,0,165,1.9
house,105,10118.0,3,2,1,2.0,Old Property,1186.0,0,0,0,9,1.2
house,26,33333.0,3,3,2,2.0,Moderately Old,1350.0,1,0,0,70,4.5
house,109,6568.0,3,2,0,1.0,Relatively New,2360.0,0,0,0,0,1.55
flat,28,14545.0,2,2,2,3.0,Relatively New,1222.0,0,0,0,52,1.6
flat,109,8704.0,3,4,3,14.0,Relatively New,2339.0,1,0,0,101,2.25
flat,65,14025.0,4,4,3+,3.0,Relatively New,2194.0,1,0,2,174,2.77
house,12,14184.0,2,4,2,2.0,Relatively New,846.0,0,0,1,7,1.2
flat,92,7568.0,3,4,3,16.0,Relatively New,1805.0,1,0,1,60,1.55
flat,85,6667.0,2,2,3,9.0,Relatively New,1638.0,0,1,0,174,1.09
flat,70,11500.0,2,2,3,4.0,New Property,1400.0,0,0,0,132,1.15
flat,85,7350.0,3,4,3+,7.0,New Property,2179.0,0,1,0,107,1.77
flat,30,12859.0,2,2,1,2.0,Old Property,734.0,0,0,1,49,0.85
flat,107,6589.0,2,2,3+,10.0,Relatively New,1236.0,0,0,1,49,0.9
flat,3,8310.0,2,2,3,0.0,Under Construction,1307.0,0,0,0,60,1.2
flat,2,8163.0,1,1,1,5.0,Moderately Old,665.0,0,0,1,88,0.6
house,41,27778.0,8,5,3+,3.0,Old Property,3240.0,1,1,1,26,9.0
house,41,28283.0,7,7,3+,3.0,Moderately Old,2475.0,1,1,2,151,7.0
flat,28,7235.0,4,2,3+,1.0,Old Property,1382.0,0,0,0,0,0.9
house,4,8889.0,1,1,0,1.0,Moderately Old,450.0,0,0,0,0,0.4
house,109,10463.0,4,4,3+,2.0,New Property,5400.0,1,0,1,44,5.65
flat,62,14257.0,2,2,3,31.0,Under Construction,1676.0,0,0,0,101,2.15
house,49,15278.0,6,6,3,3.0,Moderately Old,2880.0,1,1,2,110,4.4
flat,81,5263.0,2,2,3,12.0,Relatively New,1361.0,0,0,1,93,0.64
flat,65,13999.0,3,3,3,45.0,Under Construction,2267.0,1,0,0,48,2.86
flat,66,15909.0,3,3,3,7.0,Moderately Old,2125.0,1,1,1,149,3.5
house,89,5397.0,2,2,2,14.0,New Property,1297.0,0,0,0,0,0.7
flat,86,9222.0,3,3,3+,15.0,Relatively New,1780.0,1,0,0,174,1.54
house,48,38194.0,4,4,3+,3.0,Relatively New,2160.0,1,1,1,160,8.25
house,109,25103.0,5,6,3+,2.0,Moderately Old,2430.0,1,0,0,30,6.1
flat,51,9130.0,4,4,3,1.0,Relatively New,2300.0,0,0,0,58,2.1
flat,37,7176.0,3,3,3,2.0,Relatively New,1563.0,0,0,0,49,1.25
flat,111,10057.0,2,2,2,8.0,Relatively New,773.0,0,0,0,68,0.7
flat,67,13679.0,3,3,3,5.0,Moderately Old,2047.0,1,0,2,26,2.8
house,28,30556.0,4,3,3,2.0,Old Property,1800.0,0,0,1,22,5.5
flat,111,11727.0,3,4,2,10.0,Moderately Old,2200.0,1,0,0,86,2.58
flat,113,14286.0,3,3,3+,3.0,Relatively New,2460.0,1,0,0,167,3.0
house,13,12077.0,3,6,2,3.0,Old Property,115.0,0,0,0,7,1.25
flat,61,13752.0,3,2,3,3.0,Under Construction,1534.0,0,0,0,146,2.1
flat,113,10788.0,3,3,3,8.0,Relatively New,2014.0,0,0,0,110,2.45
flat,69,8973.0,3,3,1,12.0,Relatively New,1709.0,0,0,0,174,1.38
flat,89,12000.0,3,2,0,3.0,New Property,1423.0,0,0,0,45,1.71
flat,67,9531.0,3,4,3,4.0,New Property,1941.0,0,1,1,150,1.85
flat,37,9231.0,2,2,3,7.0,New Property,625.0,0,0,0,35,0.6
flat,82,6193.0,2,2,2,15.0,Relatively New,1176.0,0,0,1,117,0.81
flat,53,19364.0,3,3,3+,1.0,Under Construction,2617.0,0,0,0,42,5.6
flat,74,12500.0,2,2,3,17.0,Relatively New,1300.0,0,1,0,174,1.5
flat,37,8007.0,3,3,3,9.0,Relatively New,1639.0,0,0,0,107,1.45
flat,108,8238.0,3,4,3,3.0,Moderately Old,1771.0,0,0,1,75,1.65
flat,52,9740.0,1,1,0,0.0,Moderately Old,513.0,0,0,1,43,0.45
flat,12,4037.0,2,2,1,1.0,Moderately Old,737.0,0,0,0,23,0.35
house,43,23663.0,4,4,2,4.0,Under Construction,2430.0,1,1,2,153,5.75
flat,85,6452.0,2,2,3,10.0,Relatively New,1485.0,0,0,0,49,1.12
flat,36,7500.0,2,2,2,5.0,Relatively New,856.0,0,0,0,26,0.75
flat,89,5000.0,1,1,1,6.0,New Property,430.0,0,0,0,74,0.25
house,4,8557.0,3,2,1,1.0,Moderately Old,783.0,0,0,0,19,0.67
flat,2,8629.0,1,1,2,6.0,Moderately Old,723.0,0,0,0,77,0.56
flat,70,10258.0,3,4,3+,20.0,Relatively New,1706.0,0,0,2,49,1.75
house,14,18444.0,5,4,2,2.0,Old Property,2250.0,0,0,1,51,4.15
flat,67,14419.0,3,4,3,17.0,Relatively New,2134.0,1,0,1,174,3.4
flat,81,10937.0,3,3,3+,19.0,Relatively New,1617.0,1,0,2,49,2.3
house,25,38756.0,2,9,3,4.0,Relatively New,1961.0,0,1,1,84,7.6
flat,95,5735.0,2,2,1,10.0,Relatively New,610.0,0,0,1,50,0.32
flat,102,6000.0,1,1,2,6.0,Relatively New,750.0,0,0,0,0,0.45
house,56,20635.0,4,4,2,2.0,Moderately Old,1449.0,1,0,1,49,2.99
flat,109,6977.0,3,4,3+,4.0,Relatively New,1797.0,1,0,0,39,1.5
house,41,18929.0,3,3,3,4.0,New Property,1400.0,1,0,1,22,2.65
house,3,7576.0,7,2,0,1.0,Moderately Old,1980.0,0,0,0,0,1.5
flat,86,7895.0,3,3,1,16.0,Relatively New,1719.0,0,0,0,49,1.5
flat,48,24926.0,4,4,3+,10.0,Moderately Old,3831.0,1,1,1,67,9.3
flat,83,7225.0,2,2,3,4.0,Relatively New,1630.0,0,0,0,49,1.19
flat,107,4762.0,3,2,2,5.0,Relatively New,850.0,0,0,0,35,0.5
flat,104,15819.0,3,2,2,4.0,Under Construction,1120.0,0,0,0,49,1.4
flat,88,6897.0,2,2,3,7.0,Relatively New,1611.0,0,0,0,72,1.0
flat,2,7424.0,3,3,3+,10.0,Relatively New,1509.0,0,0,0,49,1.3
flat,85,6429.0,3,3,2,12.0,Relatively New,1402.0,0,0,0,120,0.9
house,105,5556.0,2,2,0,1.0,Moderately Old,100.0,0,0,0,0,0.5
flat,83,5808.0,3,3,2,3.0,Relatively New,1350.0,1,1,1,165,1.15
flat,69,8619.0,3,3,2,12.0,Relatively New,1428.0,0,0,1,49,1.36
flat,102,11667.0,2,2,3,0.0,Relatively New,1286.0,0,0,0,80,1.4
house,55,18667.0,4,4,0,2.0,Old Property,1500.0,0,0,0,0,2.8
house,50,32253.0,5,7,3+,3.0,Moderately Old,3240.0,1,0,1,153,10.45
flat,84,7039.0,2,2,1,1.0,Relatively New,537.0,0,1,1,84,0.34
flat,84,6500.0,2,2,0,5.0,Relatively New,549.0,0,0,0,0,0.39
house,4,11111.0,3,4,1,2.0,Moderately Old,990.0,0,0,0,0,1.1
flat,4,6076.0,2,2,2,12.0,New Property,521.0,0,0,0,42,0.35
flat,91,11118.0,4,3,3+,8.0,Relatively New,2107.0,1,1,0,128,1.75
flat,49,10417.0,3,3,3,9.0,Moderately Old,1604.0,0,0,1,132,2.1
flat,48,15240.0,3,3,3+,9.0,Relatively New,2395.0,0,0,1,157,3.65
flat,2,6485.0,2,2,3+,3.0,New Property,1176.0,0,0,0,89,0.95
flat,69,8227.0,3,3,1,12.0,Relatively New,1419.0,0,0,1,86,1.29
house,76,10067.0,2,2,2,11.0,New Property,745.0,0,0,0,40,0.75
flat,82,10283.0,3,3,3+,2.0,Relatively New,1668.0,0,0,1,44,1.85
flat,78,5719.0,2,2,2,5.0,Moderately Old,1224.0,0,0,0,0,0.7
flat,95,5829.0,2,2,1,9.0,Relatively New,610.0,0,0,1,71,0.32
flat,1,3696.0,3,3,2,2.0,Moderately Old,2556.0,0,0,0,44,0.85
flat,93,5700.0,4,4,3,16.0,Relatively New,2105.0,0,0,0,0,1.25
flat,7,5889.0,2,2,1,3.0,Relatively New,1000.0,0,0,0,70,0.54
flat,71,6594.0,2,2,2,8.0,Relatively New,1084.0,0,0,0,0,0.79
house,25,37037.0,5,5,3+,3.0,Moderately Old,9500.0,1,0,2,29,10.0
flat,56,7600.0,3,3,3+,5.0,Moderately Old,2251.0,1,0,1,118,1.71
flat,110,9655.0,3,3,3,10.0,Relatively New,1550.0,0,0,1,142,1.4
flat,67,13529.0,3,4,3+,18.0,Relatively New,2490.0,1,0,1,61,3.65
flat,107,8000.0,3,2,2,8.0,Relatively New,750.0,0,0,0,55,0.6
flat,69,9125.0,3,3,2,1.0,Relatively New,1381.0,0,0,0,174,1.44
flat,113,11499.0,4,4,3+,20.0,Under Construction,2060.0,0,0,0,143,2.37
flat,104,6645.0,1,2,2,3.0,New Property,334.0,0,0,0,67,0.2
flat,33,10197.0,2,2,3+,2.0,Under Construction,1539.0,0,0,0,87,1.5
flat,113,13969.0,2,2,0,7.0,New Property,1310.0,0,0,0,68,1.83
house,4,14222.0,3,3,2,2.0,Old Property,2250.0,0,0,0,13,3.2
flat,88,8375.0,3,2,2,2.0,Under Construction,663.0,0,0,0,15,0.5
flat,41,11724.0,4,4,3,0.0,Old Property,2900.0,0,0,0,0,3.4
flat,102,10000.0,4,4,3+,11.0,Relatively New,4630.0,0,0,1,60,4.55
flat,49,7818.0,3,3,2,2.0,Old Property,2444.0,0,0,1,144,1.72
flat,61,13497.0,3,3,2,1.0,Under Construction,1778.0,0,0,0,49,2.2
flat,82,5590.0,2,2,3+,2.0,Relatively New,1026.0,0,0,0,110,0.63
flat,37,7035.0,3,3,3+,4.0,Relatively New,1890.0,1,0,0,149,1.4
flat,70,7001.0,3,3,2,1.0,Under Construction,1457.0,0,0,0,46,1.13
house,104,21196.0,3,5,3+,2.0,Moderately Old,920.0,0,0,0,64,1.95
flat,70,8974.0,3,5,0,0.0,Relatively New,1950.0,0,0,0,47,1.75
flat,103,8522.0,4,4,3,11.0,Relatively New,2602.0,1,1,0,38,2.45
house,82,21759.0,3,3,3+,3.0,New Property,2160.0,1,0,0,33,4.7
house,28,8102.0,2,2,0,2.0,Old Property,864.0,0,0,0,7,0.7
flat,89,8701.0,3,3,2,1.0,New Property,1179.0,0,0,0,45,1.3
house,109,12037.0,4,4,3+,1.0,New Property,5400.0,1,0,1,160,6.5
flat,37,9167.0,2,2,3,3.0,New Property,543.0,0,0,0,53,0.55
flat,36,8036.0,3,2,2,2.0,Under Construction,1014.0,0,0,0,144,0.9
flat,107,7497.0,2,2,3,0.0,Relatively New,1281.0,0,0,0,29,1.15
flat,66,16471.0,3,4,3,6.0,Relatively New,2150.0,1,0,0,68,3.5
flat,90,8036.0,4,4,3+,8.0,Relatively New,2000.0,0,0,0,126,1.78
flat,43,13514.0,3,2,3,5.0,Old Property,1674.0,0,0,0,0,2.5
house,38,21242.0,6,6,3+,3.0,Moderately Old,1836.0,1,0,0,32,3.9
house,3,6707.0,2,2,1,2.0,Moderately Old,810.0,0,0,0,0,0.55
