,Name,Address,Price,Area,Configuration,Floor,Facing,Overlooking,Property Age,URL,Nearby Places,details,Sector
347,"Huda Sector, Gurgaon","Huda Sector, Gurgaon","₹ 3.1 Crore
@ 11,367 per sq.ft. (Negotiable) View Price Details","Carpet area: 2727
(253.35 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3+ Balconies with Pooja Room,Servant Room",3rd   of 4 Floors,North,Main Road,0 to 1 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-huda-sector-gurgaon-2727-sq-ft-r1-spid-C81562707,['Sector metro station\nSector metro station\nSector 54 chowk metro station\nHong Kong Bazaar Mall\nSanatan Dharm Mandir'],"{'Property Ownership': ':, Freehold', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Parking': ':, 2 Covered', 'Water Source': ':, 24*7 Water', 'Power Backup': ':, None', 'Property Code': ':, C81562707'}",Unknown
458,"Dharam Colony, Gurgaon","Dharam Colony, Gurgaon","₹ 1.8 Crore
@ 79,646 per sq.ft. (All inclusive) View Price Details","Carpet area: 226
(21 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Store Room,Study Room,Servant Room",2nd   of 2 Floors,,,1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dharam-colony-gurgaon-226-sq-ft-spid-C83401342,['Palam triangle\nPalam Vihar Vyapar kendra\nHUDA Sector 23 Market\nRam Mandir\nSheetla Mata Mandir\nKalyan Hospital Gurgaon'],"{'Property Ownership': ':, Freehold', 'Furnishing': ':, Semifurnished', 'Parking': ':, 1 Covered, 1 Open', 'Power Backup': ':, None', 'Property Code': ':, C83401342'}",Dharam Colony
782,Suncity Vatsal Valley,"Suncity Vatsal Valley
Gwal Pahari, Gurgaon","₹ 1.9 Crore+ Govt Charges & Tax
@ 13,286 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1430
(132.85 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room",4th   of 4 Floors,East,"Park/Garden,Main Road,Others",1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-suncity-vatsal-valley-gwal-pahari-gurgaon-1430-sq-ft-spid-C82833520,['Sector 55-56 Metro Station\nSector 54 Chowk Metro Station\nCentral Plaza Mall\nFaridabad - Gurgaon Road\nBadshahpur Sohna Rd Hwy'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, C82833520'}",Gwal Pahari
1028,"Mianwali Colony, Gurgaon","Mianwali Colony, Gurgaon","₹ 1.45 Crore+ Govt Charges & Tax
@ 8,055 per sq.ft. (All inclusive, Negotiable) View Price Details","Carpet area: 1800
(167.23 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 1 Balcony with Pooja Room",2nd   of 4 Floors,,,1 to 5 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-mianwali-colony-gurgaon-1800-sq-ft-spid-C83448036,['Hanuman Mandir\nSheetla Mata Mandir\nM Goel Hospital\nDental Health Centre\nLall Nursing and Maternity Home'],"{'Property Ownership': ':, Freehold', 'Furnishing': ':, Semifurnished', 'Parking': ':, 1 Covered', 'Power Backup': ':, None', 'Property Code': ':, C83448036'}",Unknown
1337,"Sohna, Gurgaon","Sohna, Gurgaon","₹ 1.4 Crore
@ 10,475 per sq.ft. (All inclusive) View Price Details","Super Built up area 1093
(101.54 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Study Room",1st   of 2 Floors,East,"Park/Garden,Pool,Club,Main Road,Others",0 to 1 Year Old,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sohna-gurgaon-1093-sq-ft-r21-spid-U56000726,['Sri Radhe Krishna Temple\nIcici bank ATM\nStandard chartered ATM\nSanjeevani Hospital Gurgaon\nSona Devi Memorial Hospital and Trauma Centre'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 36.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, U56000726'}",Sohna Road
1407,K BLOCK,"K BLOCK
DLF Phase 2, Gurgaon","₹ 2.75 Crore+ Govt Charges & Tax
@ 91,666 per sq.yards (Negotiable) View Price Details","Carpet area: 300
(250.84 sq.m.)  
sq.yards","3 Bedrooms , 3 Bathrooms, 2 Balconies with Servant Room",2nd   of 3 Floors,North,Main Road,10+ Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-E76945071,['Mg road metro station\nSikandarpur metro station\nSikanderpur metro station\nSikandarpur rmrg metro station\nVodafone belvedere towers metro station'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 1 Open', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water', 'Power Backup': ':, None', 'Property Code': ':, E76945071'}", k
1557,Sushant lok 3,"Sushant lok 3
Sushant Lok 3 Extension, Gurgaon","₹ 3.2 Crore
@ 14,814 per sq.ft. (All inclusive, Negotiable)","Super Built up area 2160
(200.67 sq.m.)
Built Up area: 1960 sq.ft. (182.09 sq.m.)
Carpet area: 1836 sq.ft. (170.57 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room",3rd   of 4 Floors,East,,0 to 1 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-3-extension-gurgaon-2160-sq-ft-spid-V82741732,['Hong Kong Bazaar Mall\nRadhakrishna Shani Mandir\nSanatan Dharm Mandir\nIcici bank ATM\nState bank ATM'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Borewell/Tank', 'Power Backup': ':, Partial', 'Property Code': ':, V82741732'}", sushant
1655,"DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon","₹ 3.5 Crore+ Govt Charges & Tax
@ 18,087 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1935
(179.77 sq.m.)
Built Up area: 1800 sq.ft. (167.23 sq.m.)
Carpet area: 1644 sq.ft. (152.73 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Servant Room",3rd   of 4 Floors,North-East,"Park/Garden,Main Road",0 to 1 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-cyber-city-gurgaon-1935-sq-ft-spid-F80656947,['Sikandarpur metro station\nSikanderpur metro station\nSikandarpur rmrg metro station\nDlf phase 2 metro station\nMg road metro station'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 32.8 Feet', 'Gated Community': ':, Yes', 'Parking': ':, 1 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Borewell/Tank,24*7 Water,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, F80656947'}",DLF Cyber City
1819,Suncity Vatsal Valley,"Suncity Vatsal Valley
Gwal Pahari, Gurgaon","₹ 1.53 Crore+ Govt Charges & Tax
@ 13,500 per sq.ft. (Negotiable)","Super Built up area 1130
(104.98 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies",2nd   of 4 Floors,North-East,"Park/Garden,Club,Main Road",0 to 1 Year Old,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-suncity-vatsal-valley-gwal-pahari-gurgaon-1130-sq-ft-spid-K82261374,['Sector 55-56 Metro Station\nSector 54 Chowk Metro Station\nCentral Plaza Mall\nFaridabad - Gurgaon Road\nBadshahpur Sohna Rd Hwy'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered, 2 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, 24*7 Water,Borewell/Tank,Municipal corporation', 'Power Backup': ':, Full', 'Property Code': ':, K82261374'}",Gwal Pahari
1835,"DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon","₹ 4.5 Crore
@ 21,428 per sq.ft. (Negotiable) View Price Details","Carpet area: 2100
(195.1 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Pooja Room,Servant Room",1st   of 4 Floors,North,"Main Road,Others",0 to 1 Year Old,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-cyber-city-gurgaon-2100-sq-ft-r1-spid-S81199181,['Vodafone belvedere towers metro station\nMg road metro station\nDlf phase 2 metro station\nSikandarpur metro station'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Marble', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 39.4 Feet', 'Parking': ':, 2 Covered, 1 Open', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water', 'Power Backup': ':, None', 'Property Code': ':, S81199181'}",DLF Cyber City
