,Address,count
0,"Palam Vihar, Gurgaon",59
1,"Block C, Sushant Lok Phase 1, Gurgaon",56
2,"Sushant Lok 3 Extension, Gurgaon",54
3,"DLF Phase 2, Gurgaon",52
4,"DLF Phase 1, Gurgaon",52
5,"Signature Global Park
Sohna, Gurgaon",51
6,"Luxury Builder floor In South City 2
South City 2, Gurgaon",49
7,"Unitech Fresco
Nirvana Country, Gurgaon",46
8,"Sushant Lok 1 Builder Floors
Sushant Lok Phase 1, Gurgaon",43
9,"South City 2, Gurgaon",40
10,"Sushant Lok Phase 1, Gurgaon",40
11,"Eldeco Accolade
Sohna, Gurgaon",33
12,"Silverglades The Melia
Sohna, Gurgaon",31
13,"Malibu Town, Gurgaon",28
14,"Breez Global Heights
Sohna, Gurgaon",28
15,"GLS Arawali Homes
Sohna, Gurgaon",25
16,"Unitech Harmony
Nirvana Country, Gurgaon",25
17,"Ashiana Anmol
Sohna, Gurgaon",24
18,"Ashiana Mulberry
Sohna, Gurgaon",24
19,"DLF Phase 1 Ultra Luxury Builder Floors
DLF Phase 1, Gurgaon",24
20,"Sushant Lok Phase 2, Gurgaon",21
21,"Luxury Builder Floor In Sushant Lok 1
Sushant Lok Phase 1, Gurgaon",21
22,"Uppals Southend, Gurgaon",21
23,"Block N, Mayfield garden, Gurgaon",20
24,"DLF Luxury Builder Floors
DLF Phase 2, Gurgaon",20
25,"B Block Sushant Lok Phase 1, Gurgaon",20
26,"Suncity Vatsal Valley
Gwal Pahari, Gurgaon",20
27,"Ultra Luxury Builder Floor
South City 1, Gurgaon",19
28,"Sushant Lok Phase 3, Gurgaon",19
29,"Ansals Palam Vihar
Palam Vihar, Gurgaon",18
30,"Ardee City, Gurgaon",17
31,"Signature The Serenas
Sohna, Gurgaon",17
32,"Unitech Escape
Nirvana Country, Gurgaon",17
33,"Mayfield Garden, Gurgaon",16
34,"Uppal Southend
Uppals Southend, Gurgaon",16
35,"DLF City Plots Phase 2
DLF Phase 2, Gurgaon",15
36,"A Block Sushant Lok Phase 1, Gurgaon",15
37,"The Close North
Nirvana Country, Gurgaon",15
38,"DLF Phase 4, Gurgaon",14
39,"DLF Wellington Estate
DLF Phase 5, Gurgaon",14
40,"Block A South City 2, Gurgaon",14
41,"Central Park The Orchard
Sohna, Gurgaon",14
42,"South City 1, Gurgaon",14
43,"Malibu Towne
Malibu Town, Gurgaon",13
44,"HCBS Sports Ville
Sohna, Gurgaon",13
45,"DLF Builder Floors
DLF Phase 2, Gurgaon",12
46,"Eldeco Acclaim
Sohna, Gurgaon",12
47,"The Close South
Nirvana Country, Gurgaon",11
48,"Trisara Our Homes 3
Sohna, Gurgaon",10
49,"DLF Regency Park 2
DLF Phase 4, Gurgaon",10
50,"MVN Athens
Sohna, Gurgaon",10
51,"Bestech Park View Residency
Palam Vihar, Gurgaon",10
52,"DLF Carlton Estate
DLF Phase 5, Gurgaon",9
53,"DLF Oakwood Estate
DLF Phase 2, Gurgaon",9
54,"DLF Cyber City, Gurgaon",8
55,"Central Park Flower Valley The Room
Sohna, Gurgaon",8
56,"Block B Sushant Lok 3, Gurgaon",8
57,"Nirvana Country, Gurgaon",8
58,"Greenwood City, Gurgaon",8
59,"Unitech Singleton Floors
South City 2, Gurgaon",8
60,"Ardee Palm Grove Heights
Ardee City, Gurgaon",8
61,"Rosewood City, Gurgaon",8
62,"DLF Belvedere Towers
DLF Phase 2, Gurgaon",8
63,"B Block, Mayfield Garden, Gurgaon",7
64,"Bedarwal Consortium Sixty Three Golf Drive
Kadarpur, Gurgaon",7
65,"DLF Phase 4 Luxury Builder Floors
DLF Phase 4, Gurgaon",7
66,"Block C Ardee City, Gurgaon",7
67,"Ultra Luxurious Builder Floor
DLF Phase 1, Gurgaon",7
68,"G block DLF City Phase 1, Gurgaon",7
69,"DLF Ridgewood Estate
DLF Phase 4, Gurgaon",7
70,"DLF Regency Park 1
DLF Phase 4, Gurgaon",7
71,"Block C Sushant Lok Phase - 3, Gurgaon",6
72,"Suncity, Gurgaon",6
73,"Block M DLF phase 2, Gurgaon",6
74,"Brand new ultra luxury builder floor
DLF Phase 1, Gurgaon",6
75,"DLF Phase 3, Gurgaon",6
76,"Private Builder Floor
Uppals Southend, Gurgaon",5
77,"DLF Belvedere Park
DLF Phase 2, Gurgaon",5
78,"Ansal Sushant Residency
Sushant Lok Phase 3, Gurgaon",5
79,"G Block, Sushant Lok 3, Gurgaon",5
80,"Block M South City 1, Gurgaon",5
81,"Woodstock Floors
Nirvana Country, Gurgaon",5
82,"Block J Pocket C Palam Vihar, Gurgaon",5
83,"Block S Uppals Southend, Gurgaon",5
84,"Unitech Heritage City
Heritage City, Gurgaon",5
85,"Urban Estate, Gurgaon",5
86,"Ultra Luxury Builder floor In Nirvana Country
Nirvana Country, Gurgaon",4
87,"Huda, Gurgaon",4
88,"DLF CITY, Gurgaon",4
89,"sushant lok- 3
Sushant Lok 3 Extension, Gurgaon",4
90,"DLF Exclusive Floors
DLF Phase 5, Gurgaon",4
91,"Signature Global Park 4
Sohna, Gurgaon",4
92,"Ardee The Residency
Ardee City, Gurgaon",4
93,"Nirvana Cedar Crest
Nirvana Country, Gurgaon",3
94,"Emaar MGF The Enclave
Badshahpur, Gurgaon",3
95,"Block J, Mayfield Garden, Gurgaon",3
96,"Sushant Lok 1 Builder Floors
Block C, Sushant Lok Phase 1, Gurgaon",3
97,"Block H, DLF City Phase 1, Gurgaon",3
98,"Block N South City 1, Gurgaon",3
99,"Garden Villas
DLF Phase 4, Gurgaon",3
100,"Breez Global Hill View
Sohna, Gurgaon",3
101,"Block-A, DLF City Phase 1, Gurgaon",3
102,"Ansal
Block C, Sushant Lok Phase 1, Gurgaon",3
103,"Emerald Floors Premier Phase 3
Golf Course Road, Gurgaon",3
104,"Valley View Estate
Gwal Pahari, Gurgaon",3
105,"Huda Sector, Gurgaon",2
106,"TOP FLOOR TERRACE GARDEN BAR AND KITCHENS PANTRY
DLF Phase 2, Gurgaon",2
107,"Block C Palam Vihar, Gurgaon",2
108,"Block A Greenwood City, Gurgaon",2
109,"S Block DLF Phase 3, Gurgaon",2
110,"Block P South city 1, Gurgaon",2
111,"Block H South city 2, Gurgaon",2
112,"BUILDER FLOOR
DLF Phase 2, Gurgaon",2
113,"Sushant Lok 1 Builder Floors
B Block Sushant Lok Phase 1, Gurgaon",2
114,"Global Foyer
Palam Vihar, Gurgaon",2
115,"Sushant lok 3
Sushant Lok 3 Extension, Gurgaon",2
116,"Independent Floors at DLF City Phase 4
DLF Phase 4, Gurgaon",2
117,"Koyal Vihar, Gurgaon",2
118,"Godrej Aria
Naurangpur, Gurgaon",2
119,"Phase 2 Sushant Lok 3, Gurgaon",2
120,"DLF Floors Phase 3
DLF Phase 3, Gurgaon",2
121,"Ambience Lagoon
DLF Phase 3, Gurgaon",2
122,"ASF Isle De Royale
Gwal Pahari, Gurgaon",2
123,"DLF Princeton Estate
DLF Phase 5, Gurgaon",2
124,"Dharam Colony, Gurgaon",2
125,"DLF Pink Town House
DLF Phase 3, Gurgaon",2
126,"Smart World Orchard
Ullahawas, Gurgaon",2
127,"Landmark Avenue
Sushant Lok Phase 1, Gurgaon",2
128,"Private Builder Floor
Mayfield Garden, Gurgaon",2
129,"Kanhai, Gurgaon",2
130,"Block F DLF city phase 1, Gurgaon",2
131,"Nirvana, Gurgaon",2
132,"Malibu Towers
Malibu Town, Gurgaon",2
133,"Pocket J Palam Vihar, Gurgaon",2
134,"Ardee City
Ardee City, Gurgaon",2
135,"PARK FACING LUXURY BUILDER FLOOR
DLF Phase 1, Gurgaon",2
136,"Super Luxury Mind Blowing
DLF Phase 2, Gurgaon",2
137,"Super Luxury Mindblowing
DLF Phase 2, Gurgaon",2
138,"DLF Phase 5, Gurgaon",2
139,"V Block DLF Phase 3, Gurgaon",2
140,"Paramount Luxury Floors 2
Malibu Town, Gurgaon",2
141,"Galleria Market, Gurgaon",2
142,"South City-1, Gurgaon",2
143,"Ansal
Sushant Lok Phase 2, Gurgaon",2
144,"Independent Floor at DLF City
DLF Phase 3, Gurgaon",2
145,"Pocket H, Palam Vihar, Gurgaon",2
146,"Apexhomz
Palam Vihar, Gurgaon",2
147,"HCS The Leaf
Gwal Pahari, Gurgaon",1
148,"CGHS Satguru Apartments
Wazirabad, Gurgaon",1
149,"Luxury Builder floor In South City 2
DLF Phase 3, Gurgaon",1
150,"Builder floor Apartment
Sushant Lok 3 Extension, Gurgaon",1
151,"Ansal Harmony Homes
Sushant Lok Phase 3, Gurgaon",1
152,"Ansal floor Sushant Lok 3
Sushant Lok Phase 3, Gurgaon",1
153,"M block
DLF Cyber City, Gurgaon",1
154,"builder fl
DLF Cyber City, Gurgaon",1
155,"DLF-1 ARJUN MARG SUPER LUXURY FLOOR 300SQYD
DLF Phase 1, Gurgaon",1
156,"Suncity Luxury Builder Floors
Suncity, Gurgaon",1
157,"Jyoti Park, Gurgaon",1
158,"SS Aaron Ville
Uppals Southend, Gurgaon",1
159,"VALUE FOR MONEY DEAL 300SQYD
DLF Phase 2, Gurgaon",1
160,"Supermart-1, Gurgaon",1
161,"215SQYD BEST AND CHEAPEST PRICE OPTION
Sushant Lok Phase 1, Gurgaon",1
162,"Ansal Oriental Villas
Sushant Lok Phase 3, Gurgaon",1
163,"Apartment.
Wazirpur, Gurgaon",1
164,"Builder Floor
DLF Phase 1, Gurgaon",1
165,"Luxury Builder Floor
Block C South city 1, Gurgaon",1
166,"ansal
Palam Vihar, Gurgaon",1
167,"Block C 1 Palam Vihar, Gurgaon",1
168,"Sushant lok- 3
Sushant Lok 3 Extension, Gurgaon",1
169,"DLF Luxury Builder Floors
Block M DLF phase 2, Gurgaon",1
170,"Park Facing luxury floor
DLF Phase 2, Gurgaon",1
171,"builder floor
Block C Palam Vihar, Gurgaon",1
172,"Best price luxury floor
DLF Phase 2, Gurgaon",1
173,"418SQYD LOW BUDGET FLOOR
Sushant Lok Phase 1, Gurgaon",1
174,"huda builder floor
Urban Estate, Gurgaon",1
175,"Builder Floor Top
DLF Phase 2, Gurgaon",1
176,"Brand New Ultra Luxury Builder Floor
DLF Phase 1, Gurgaon",1
177,"C block
Block C, Sushant Lok Phase 1, Gurgaon",1
178,"The Retreat
South City 1, Gurgaon",1
179,"Ansal Sushant Lok Plots
Sushant Lok Phase 1, Gurgaon",1
180,"DLF The Grove
DLF Phase 5, Gurgaon",1
181,"Block B, Palam Vihar, Gurgaon",1
182,"mayfield Garden
C Block Mayfield Garden, Gurgaon",1
183,"mayfield garden
Block K, Mayfield Garden, Gurgaon",1
184,"Shiv Shankar Society
Samaspur, Gurgaon",1
185,"Greenwood City Luxurious Builder Floor
Greenwood City, Gurgaon",1
186,"BRAND NEW SUPER LUXURY BUILDER FLOOR
Sushant Lok Phase 1, Gurgaon",1
187,"Designer Luxurious Floor
Block C, Sushant Lok Phase 1, Gurgaon",1
188,"ultra luxury builder floor
DLF Phase 2, Gurgaon",1
189,"Ramgarh, Gurgaon",1
190,"Pragati Hills Society, Gurgaon",1
191,"DLF, Block-J
DLF Phase 2, Gurgaon",1
192,"E-16 DLF
Block E DLF City Phase 1, Gurgaon",1
193,"BRAND NEW CONSTRUCTION
DLF Phase 2, Gurgaon",1
194,"Shibha Realty
DLF Phase 2, Gurgaon",1
195,"AVENUE-49
South City 2, Gurgaon",1
196,"Sushant lok-1 Block A
Sushant Lok Phase 1, Gurgaon",1
197,"Namo Homes ultra luxury independent builder floor
DLF Phase 1, Gurgaon",1
198,"DLF The Skycourt
Nawada Fatehpur, Gurgaon",1
199,"Unitech Deerwood Chase
Nirvana Country, Gurgaon",1
200,"Unitech Espace
Nirvana Country, Gurgaon",1
201,"Belvedere Towers
DLF Cyber City, Gurgaon",1
202,"super luxury floor
DLF Phase 4, Gurgaon",1
203,"Namo homes Ultra luxury builder floor
DLF Phase 4, Gurgaon",1
204,"M Block Top Terrace
DLF Phase 2, Gurgaon",1
205,"Brand New Builder Floor
Block C, Sushant Lok Phase 1, Gurgaon",1
206,"Middle Floor Luxury
DLF Phase 2, Gurgaon",1
207,"middle floor luxury floor
DLF Phase 3, Gurgaon",1
208,"Top Floor Terrace
DLF Phase 1, Gurgaon",1
