,Address,count,Sector
0,"Palam Vihar, Gurgaon",59,Sector 2
1,"Block C, Sushant Lok Phase 1, Gurgaon",56,Sector 43
2,"Sushant Lok 3 Extension, Gurgaon",54,Sector 57
3,"DLF Phase 2, Gurgaon",52,Sector 25
4,"DLF Phase 1, Gurgaon",52,Sector 26
5,"Signature Global Park Sohna, Gurgaon",51,Sector 36
6,"Luxury Builder floor In South City 2 South City 2, Gurgaon",49,Sector 49
7,"Unitech Fresco Nirvana Country, Gurgaon",46,Sector 50
8,"Sushant Lok 1 Builder Floors Sushant Lok Phase 1, Gurgaon",43,Sector 43
9,"South City 2, Gurgaon",40,Sector 49
10,"Sushant Lok Phase 1, Gurgaon",40,Sector 43
11,"Eldeco Accolade Sohna, Gurgaon",33,Sector 2
12,"Silverglades The Melia Sohna, Gurgaon",31,Sector 35
13,"Malibu Town, Gurgaon",28,Sector 47
14,"Breez Global Heights Sohna, Gurgaon",28,Sector 33
15,"GLS Arawali Homes Sohna, Gurgaon",25,Sector 4
16,"Unitech Harmony Nirvana Country, Gurgaon",25,Sector 50
17,"Ashiana Anmol Sohna, Gurgaon",24,Sector 2
18,"Ashiana Mulberry Sohna, Gurgaon",24,Sector 2
19,"DLF Phase 1 Ultra Luxury Builder Floors DLF Phase 1, Gurgaon",24,Sector 26
20,"Sushant Lok Phase 2, Gurgaon",21,Sector 55
21,"Luxury Builder Floor In Sushant Lok 1 Sushant Lok Phase 1, Gurgaon",21,Sector 43
22,"Uppals Southend, Gurgaon",21,Sector 49
23,"Block N, Mayfield garden, Gurgaon",20,Sector 51
24,"DLF Luxury Builder Floors DLF Phase 2, Gurgaon",20,Sector 25
25,"B Block Sushant Lok Phase 1, Gurgaon",20,Sector 43
26,"Suncity Vatsal Valley Gwal Pahari, Gurgaon",20,Sector 3
27,"Ultra Luxury Builder Floor South City 1, Gurgaon",19,Sector 41
28,"Sushant Lok Phase 3, Gurgaon",19,Sector 57
29,"Ansals Palam Vihar Palam Vihar, Gurgaon",18,Sector 2
30,"Ardee City, Gurgaon",17,Sector 52
31,"Signature The Serenas Sohna, Gurgaon",17,Sector 36
32,"Unitech Escape Nirvana Country, Gurgaon",17,Sector 50
33,"Mayfield Garden, Gurgaon",16,Sector 51
34,"Uppal Southend Uppals Southend, Gurgaon",16,Sector 49
35,"DLF City Plots Phase 2 DLF Phase 2, Gurgaon",15,Sector 25
36,"A Block Sushant Lok Phase 1, Gurgaon",15,Sector 43
37,"The Close North Nirvana Country, Gurgaon",15,Sector 50
38,"DLF Phase 4, Gurgaon",14,Sector 28
39,"DLF Wellington Estate DLF Phase 5, Gurgaon",14,Sector 53
40,"Block A South City 2, Gurgaon",14,Sector 49
41,"Central Park The Orchard Sohna, Gurgaon",14,Sector 33
42,"South City 1, Gurgaon",14,Sector 41
43,"Malibu Towne Malibu Town, Gurgaon",13,Sector 47
44,"HCBS Sports Ville Sohna, Gurgaon",13,Sector 2
45,"DLF Builder Floors DLF Phase 2, Gurgaon",12,Sector 25
46,"Eldeco Acclaim Sohna, Gurgaon",12,Sector 2
47,"The Close South Nirvana Country, Gurgaon",11,Sector 50
48,"Trisara Our Homes 3 Sohna, Gurgaon",10,Sector 2
