Name,Address,Price,Area,Configuration,Floor,Facing,Overlooking,Property Age,URL,Nearby Places,details
"Vipul Lavanya
3.6","Vipul Lavanya
Sector 81, Gurgaon","₹ 1.05 Crore+ Govt Charges & Tax
@ 8,400 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1250
(116.13 sq.m.)
Carpet area: 796 sq.ft. (73.95 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others",10th   of 14 Floors,East,"Pool,Park/Garden,Club,Others",5 to 10 Year Old    View Construction Status,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1250-sq-ft-r2-spid-K80810329,['Millennium City Centre Gurugram\nTown Square 2\nManesar Road\nSh. S. N. Sidheshwar Sr. Sec. Public\nSinghania University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,24*7 Water,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, K80810329'}"
Sare Crescent Parc Royal Greens Phase 1,"Sare Crescent Parc Royal Greens Phase 1
Sector 92, Gurgaon","₹ 1.29 Crore+ Govt Charges & Tax
@ 8,781 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1469
(136.47 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others",6th   of 7 Floors,North-East,"Pool,Park/Garden,Main Road,Others,Club,Sea facing",5 to 10 Year Old,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sare-crescent-parc-royal-greens-phase-1-sector-92-gurgaon-1469-sq-ft-r3-spid-O79362959,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'Water Source': ':, Borewell/Tank,Municipal corporation,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, O79362959'}"
"Orris Carnation Residency
3.8","Orris Carnation Residency
Sector 85, Gurgaon","₹ 1.05 Crore+ Govt Charges & Tax
@ 9,417 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1115
(103.59 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies with Others",11st   of 12 Floors,North,"Park/Garden,Main Road,Pool,Club",5 to 10 Year Old,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1115-sq-ft-r3-spid-L78898929,['Omaxe Celebration Mall within reach\nNearby Lotus Valley International School\nThe Shri Ram School Aravali\nClose to ARC Multi Specialty Hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, L78898929'}"
Sare Homes,"Sare Homes
Sector 92, Gurgaon","₹ 1.48 Crore+ Govt Charges & Tax
@ 9,698 per sq.ft. (All inclusive, Negotiable) View Price Details","Carpet area: 1526
(141.77 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies with Store Room",13rd   of 20 Floors,North,"Pool,Park/Garden,Club,Main Road",0 to 1 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1526-sq-ft-r3-spid-R78269557,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, R78269557'}"
"Vipul Lavanya
3.6","Vipul Lavanya
Sector 81, Gurgaon","₹ 1.4 Crore+ Govt Charges & Tax
@ 8,974 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1560
(144.93 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Store Room",12nd   of 14 Floors,North,Pool,5 to 10 Year Old    View Construction Status,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1560-sq-ft-r2-spid-S80809531,['Millennium City Centre Gurugram\nTown Square 2\nManesar Road\nSh. S. N. Sidheshwar Sr. Sec. Public\nSinghania University'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, S80809531'}"
Sare Sports Parc,"Sare Sports Parc
Sector 92, Gurgaon","₹ 1.95 Crore+ Govt Charges & Tax
@ 9,316 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2093
(194.45 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Servant Room",1st   of 18 Floors,North-East,"Pool,Park/Garden,Others,Main Road,Club,Sea facing",1 to 5 Year Old    View Construction Status,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-sports-parc-sector-92-gurgaon-2093-sq-ft-r3-spid-R79365161,"['Reliance Trends Newtown Square Mall\nDwarka Expy, Gurugram\nPranavananda International School\nSGT UNIVERSITY']","{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, R79365161'}"
Sare Homes,"Sare Homes
Sector 92, Gurgaon","₹ 1.4 Crore+ Govt Charges & Tax
@ 10,558 per sq.ft. (All inclusive, Negotiable) View Price Details","Carpet area: 1326
(123.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room",6th   of 20 Floors,North,Park/Garden,0 to 1 Year Old,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sare-homes-sector-92-gurgaon-1326-sq-ft-r3-spid-U78268611,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump\nEssar Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 60.0 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, U78268611'}"
Sare Green ParC 4,"Sare Green ParC 4
Sector 92, Gurgaon","₹ 1.9 Crore+ Govt Charges & Tax
@ 8,535 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 2226
(206.8 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room",4th   of 18 Floors,North-East,"Pool,Park/Garden,Club,Main Road,Sea facing,Others",1 to 5 Year Old,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-sare-green-parc-4-sector-92-gurgaon-2226-sq-ft-r3-spid-V79365523,['Yadav Clinic\nBangali Clinic\nDr. J. S. Sarkar Clinic\nSagar Clinic\nVijay Petrol Pump\nHP Petrol Pump'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Unfurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 2 Covered', 'Water Source': ':, 24*7 Water,Municipal corporation,Borewell/Tank', 'Power Backup': ':, Full', 'Property Code': ':, V79365523'}"
,"KLJ Square
Sector 83, Gurgaon","₹ 69.5 Lac
@ 23,166 per sq.ft.","Carpet area: 300
(27.87 sq.m.)  
sq.ft.","1 Room, 1 Bathroom, No Balcony",2nd   of 7 Floors,,,0 to 1 Year Old,https://www.99acres.com/studio-apartment-flat-for-sale-in-klj-square-sector-83-gurgaon-300-sq-ft-spid-D83624232,['S.R.S. Hospital and Critical Care Unit\nOrris Community Center\nPetrol Pump Indian Oil\nPetrol Pump Indian Oil\nPetrol Pump'],"{'Transaction Type': ':, Resale', 'Furnishing': ':, Unfurnished', 'Power Backup': ':, None', 'Property Code': ':, D83624232'}"
"Antriksh Heights
3.8","Antriksh Heights
Sector 84, Gurgaon","₹ 90 Lac+ Govt Charges & Tax
@ 7,083 per sq.ft. (All inclusive, Negotiable) View Price Details","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 3 Balconies with Others",9th   of 19 Floors,North,"Pool,Park/Garden,Main Road",5 to 10 Year Old,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r3-spid-V79363689,['Millennium City\nSapphire 83\nNH 48\nDelhi Public School\nDhamma Dipa International\nAarvy Healthcare hospital'],"{'Transaction Type': ':, Resale', 'Property Ownership': ':, Freehold', 'Flooring': ':, Vitrified', 'Furnishing': ':, Semifurnished', 'Width of facing road': ':, 196.9 Feet', 'Gated Community': ':, Yes', 'Corner Property': ':, Yes', 'Parking': ':, 1 Covered', 'WheelChair Friendly': ':, Yes', 'Pet Friendly': ':, Yes', 'Water Source': ':, Municipal corporation,Borewell/Tank,24*7 Water', 'Power Backup': ':, Full', 'Property Code': ':, V79363689'}"
