iter	RMSE
0	0.9661577643
1	0.9334151556
2	0.9044837842
3	0.8765572219
4	0.8495245952
5	0.8242017888
6	0.800577978
7	0.779753415
8	0.761117052
9	0.7423218652
10	0.7248564364
11	0.7085457825
12	0.6940905393
13	0.6798831678
14	0.6666010155
15	0.6544017323
16	0.6431985742
17	0.6323494053
18	0.6220699633
19	0.6120355702
20	0.6035480316
21	0.5953213838
22	0.5874403397
23	0.5804090147
24	0.5733840901
25	0.5664254306
26	0.5603782882
27	0.5550892341
28	0.5497217071
29	0.5450334518
30	0.5401701221
31	0.5361545262
32	0.532243055
33	0.5286376328
34	0.5250171519
35	0.5210080854
36	0.5172853574
37	0.5136509656
38	0.5109269465
39	0.5081320765
40	0.5054612066
41	0.502708656
42	0.4998725341
43	0.4970633277
44	0.4947322031
45	0.4916749526
46	0.4894037416
47	0.4873085937
48	0.485158967
49	0.4832395802
50	0.4813802546
51	0.4790604551
52	0.4770960702
53	0.4755065332
54	0.4738427646
55	0.472169173
56	0.4706398981
57	0.4688895415
58	0.4673459592
59	0.4657286135
60	0.4644133381
61	0.4630971452
62	0.4618123369
63	0.4605535257
64	0.4590885584
65	0.4576458364
66	0.4559812602
67	0.4548097235
68	0.4535154743
69	0.4523602976
70	0.4512634287
71	0.4500966556
72	0.4490699818
73	0.4479695507
74	0.4465959006
75	0.4455623034
76	0.4445684767
77	0.442789247
78	0.4418062035
79	0.4409713324
80	0.4399896711
81	0.4391274088
82	0.4382733092
83	0.4375905168
84	0.4361522358
85	0.4354061753
86	0.4346129708
87	0.4334796955
88	0.4321894019
89	0.4314243705
90	0.430640241
91	0.4299358318
92	0.4290213516
93	0.4284934183
94	0.4275696742
95	0.4268278524
96	0.4261909935
97	0.4255062617
98	0.4246713888
99	0.4239657528
100	0.4234439008
101	0.4223494664
102	0.4217894684
103	0.4210136479
104	0.4204695287
105	0.4192133567
106	0.4181513927
107	0.417587461
108	0.4169852879
109	0.4161544119
110	0.4155160169
111	0.4149948337
112	0.414289043
113	0.4136917443
114	0.4131795269
115	0.412520074
116	0.4118706555
117	0.411315254
118	0.4109803013
119	0.4104165016
120	0.4099929199
121	0.4094633852
122	0.4088530421
123	0.4083520406
124	0.407716633
125	0.4072816857
126	0.4066998844
127	0.4063021205
128	0.4059631688
129	0.405452002
130	0.4047886688
131	0.4043131978
132	0.4034834436
133	0.4029236699
134	0.4025406584
135	0.4018979836
136	0.4011547108
137	0.4005968279
138	0.4002636813
139	0.3998781419
140	0.3994956566
141	0.3990713308
142	0.3980548499
143	0.3970258253
144	0.396388543
145	0.3959749351
146	0.3955464503
147	0.3950802602
148	0.3947341522
149	0.3942545079
150	0.3938016006
151	0.3929950712
152	0.3926205141
153	0.3922027906
154	0.3917217735
155	0.3909240829
156	0.3905214579
157	0.3901363673
158	0.3896985428
159	0.3893296237
160	0.3889747164
161	0.3886653706
162	0.3882849154
163	0.3877293054
164	0.3872503349
165	0.3870510189
166	0.386649074
167	0.3863333345
168	0.3860521329
169	0.3852406165
170	0.3848746195
171	0.3845297763
172	0.3842862699
173	0.3839144921
174	0.3836251909
175	0.3833438087
176	0.3826576863
177	0.382335383
178	0.3818752787
179	0.3816560381
180	0.381366672
181	0.3807572697
182	0.3804691861
183	0.3802766534
184	0.3800220878
185	0.3791960719
186	0.3789320234
187	0.3786781509
188	0.378365792
189	0.3780463971
190	0.3776986064
191	0.3774472776
192	0.3771639027
193	0.3768249272
194	0.3765347438
195	0.3763098753
196	0.3760766203
197	0.3756472999
198	0.3753854189
199	0.3746987829
200	0.3744398938
201	0.3741294627
202	0.3736608089
203	0.3733704681
204	0.3731092711
205	0.3729336796
206	0.3725162033
207	0.3720678038
208	0.3719170333
209	0.3715589864
210	0.3714744228
211	0.3709065684
212	0.3700456694
213	0.369533917
214	0.3688248882
215	0.3682964016
216	0.3680914705
217	0.3679390705
218	0.3677324687
219	0.3675036002
220	0.3668788275
221	0.3663866304
222	0.3662246341
223	0.3658820268
224	0.3655123426
225	0.3652473889
226	0.3651392331
227	0.3650109015
228	0.3647231332
229	0.3644239904
230	0.3639381378
231	0.363619715
232	0.363242635
